control_panel,pdf_page,pdf_area,trunk_name,trunk_type,child_device,source_note
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-7,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-8,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-9,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-10,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-11,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-12,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-13,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-14,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-15,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-16,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
